State,Community_Number,Community_Name,CRS_Entry_Date,Current_Effective_Date,Current_Class,%_Discount,%_Discount_Non,Status
NJ,340312,"Aberdeen, Township of",5/1/2010,10/1/2015,8,10,5,C
NJ,340001,"Absecon, City of",10/1/2014,10/1/2014,8,10,5,C
NJ,345278,"Atlantic City, City of",10/1/1992,5/1/2018,6,20,10,C
NJ,345279,"Avalon, Borough of",10/1/1996,10/1/2013,5,25,10,C
NJ,340287,"Avon-by-the-Sea, Borough of",10/1/2016,10/1/2016,6,20,10,C
NJ,340396,"Barnegat, Township of",5/1/2014,5/1/2019,5,25,10,C
NJ,345280,"Barnegat Light, Borough of",10/1/1992,5/1/2019,7,15,5,C
NJ,345281,"Bay Head, Borough of",10/1/1993,10/1/2013,6,20,10,C
NJ,345282,"Beach Haven, Borough of",10/1/1991,10/1/2013,5,25,10,C
NJ,340427,"Bedminster, Township of",10/1/1996,5/1/2007,6,20,10,C
NJ,345283,"Belmar, Borough of",5/1/2015,5/1/2015,6,20,10,C
NJ,340369,"Berkeley, Township of",10/1/1992,10/1/2013,6,20,10,C
NJ,340459,"Berkeley Heights, Township of",10/1/1994,5/1/1999,10,0,0,R
NJ,340428,"Bernards, Township of",10/1/2010,5/1/2017,7,15,5,C
NJ,340178,"Bloomfield, Township of",10/1/1992,10/1/1997,10,0,0,R
NJ,345284,"Bloomingdale, Borough of",10/1/2016,10/1/2016,8,10,5,C
NJ,340289,"Bradley Beach, Borough of",10/1/1995,10/1/2000,7,15,5,C
NJ,345285,"Brick, Township of",5/1/2017,5/1/2017,6,20,10,C
NJ,345286,"Brigantine, City of",10/1/1992,10/1/2015,5,25,10,C
NJ,345287,"Burlington, City of",5/1/1998,10/1/2018,7,15,5,C
NJ,345288,"Cape May City, City of",10/1/1994,10/1/2013,6,20,10,C
NJ,345289,"Cape May Point, Borough of",10/1/1993,10/1/2013,6,20,10,C
NJ,345291,"Cranford Township",10/1/2016,10/1/2016,7,15,5,C
NJ,345292,"Denville, Township of",10/1/2011,5/1/2016,6,20,10,C
NJ,340026,"Dumont, Borough of",10/1/2017,10/1/2017,9,5,5,C
NJ,340007,"Egg Harbor, Township of",10/1/2017,10/1/2017,5,25,10,C
NJ,340031,"Englewood, City of",10/1/1991,10/1/2001,10,0,0,R
NJ,345295,"Fairfield, Township of",5/1/2013,5/1/2013,6,20,10,C
NJ,340434,"Franklin, Township of",5/1/2010,5/1/2015,6,20,10,C
NJ,340037,"Garfield, City of",5/1/2012,10/1/2014,10,0,0,R
NJ,340204,"Greenwich, Township of",5/1/2007,5/1/2007,9,5,5,C
NJ,340246,"Hamilton, Township of",10/1/1992,10/1/2018,7,15,5,C
NJ,345296,"Harvey Cedars, Borough of",10/1/1991,10/1/1999,8,10,5,C
NJ,340298,"Hazlet, Township of",5/1/2011,10/1/2013,6,20,10,C
NJ,340303,"Keansburg, Borough of",5/1/2015,5/1/2015,7,15,5,C
NJ,340376,"Lacey, Township of",10/1/1992,10/1/1993,10,0,0,R
NJ,340237,"Lambertville, City of",5/1/2012,5/1/2017,7,15,5,C
NJ,340379,"Lavallette, Borough of",5/1/2004,10/1/2013,6,20,10,C
NJ,345300,"Lincoln Park, Borough of",5/1/2016,5/1/2016,5,25,10,C
NJ,340467,"Linden, City of",10/1/1991,10/1/2002,8,10,5,C
NJ,340011,"Linwood, City of",10/1/2014,10/1/2014,7,15,5,C
NJ,340380,"Little Egg Harbor, Township of",5/1/2018,5/1/2018,6,20,10,C
NJ,340401,"Little Falls, Township of",5/1/2010,5/1/2016,6,20,10,C
NJ,340046,"Little Ferry, Borough of",10/1/2015,10/1/2015,7,15,5,C
NJ,340047,"Lodi, Borough of",10/1/1992,10/1/1993,10,0,0,R
NJ,345301,"Long Beach, Township of",10/1/1992,10/1/2013,5,25,10,C
NJ,340307,"Long Branch, City of",5/1/2018,5/1/2018,7,15,5,C
NJ,340356,"Long Hill, Township of",10/1/2017,10/1/2017,7,15,5,C
NJ,345302,"Longport, Borough of",10/1/1995,10/1/2013,5,25,10,C
NJ,340153,"Lower, Township of",10/1/2018,10/1/2018,7,15,5,C
NJ,345303,"Manasquan, Borough of",10/1/1992,5/1/2018,5,25,10,C
NJ,340383,"Mantoloking, Borough of",10/1/1992,10/1/2013,5,25,10,C
NJ,340437,"Manville, Borough of",10/1/2014,10/1/2014,7,15,5,C
NJ,345304,"Margate City, City of",10/1/1992,10/1/2013,5,25,10,C
NJ,340313,"Middletown, Township of",5/1/2012,10/1/2013,6,20,10,C
NJ,340315,"Monmouth Beach, Borough of",10/1/2017,10/1/2017,8,10,5,C
NJ,340188,"Montclair, Township of",10/1/1994,10/1/1995,10,0,0,R
NJ,340517,"Mullica, Township of",10/1/1994,5/1/2008,10,0,0,R
NJ,340209,"National Park, Borough of",10/1/2012,10/1/2017,8,10,5,C
NJ,340317,"Neptune, Township of",5/1/2015,5/1/2015,6,20,10,C
NJ,340570,"New Jersey Sports and Exposition Authority",10/1/1992,5/1/2009,7,15,5,C
NJ,345307,"North Plainfield, Borough of",10/1/1992,10/1/2009,8,10,5,C
NJ,345308,"North Wildwood, City of",10/1/2000,5/1/2017,6,20,10,C
NJ,345309,"Oakland, Borough of",5/1/2017,5/1/2017,7,15,5,C
NJ,345310,"Ocean City, City of",10/1/1992,5/1/2016,5,25,10,C
NJ,340518,"Ocean, Township of",5/1/2014,5/1/2014,6,20,10,C
NJ,340319,"Ocean Township",10/1/2017,10/1/2017,8,10,5,C
NJ,340320,"Oceanport, Borough of",5/1/2010,10/1/2015,7,15,5,C
NJ,340110,"Palmyra, Borough of",10/1/2009,5/1/2015,7,15,5,C
NJ,340355,"Parsippany-Troy Hills, Township of",10/1/1991,5/1/2009,10,0,0,R
NJ,340512,"Pennsville, Township of",10/1/2016,10/1/2016,8,10,5,C
NJ,345311,"Pequannock, Township of",10/1/1991,10/1/2016,5,25,10,C
NJ,340272,"Perth Amboy, City of",10/1/2017,10/1/2017,9,5,5,C
NJ,345312,"Plainfield, City of",10/1/1991,10/1/1998,10,0,0,R
NJ,340015,"Pleasantville, City of",10/1/2014,5/1/2019,5,25,10,C
NJ,345313,"Point Pleasant, Borough of",10/1/1993,10/1/2015,7,15,5,C
NJ,340388,"Point Pleasant Beach, Borough of",10/1/1992,10/1/2015,6,20,10,C
NJ,345528,"Pompton Lakes, Borough of",10/1/1991,5/1/2013,5,25,10,C
NJ,345314,"Rahway, City of",10/1/1992,10/1/2018,7,15,5,C
NJ,340067,"Ridgewood, Village of",10/1/1992,10/1/2018,6,20,10,C
NJ,340359,"Riverdale, Borough of",10/1/1994,5/1/2014,8,10,5,C
NJ,340070,"Rochelle Park, Township of",10/1/2006,10/1/2006,8,10,5,C
NJ,340472,"Roselle, Borough of",10/1/1992,5/1/2013,7,15,5,C
NJ,340473,"Roselle Park, Borough of",10/1/2015,10/1/2015,8,10,5,C
NJ,340474,"Scotch Plains, Township of",10/1/1994,10/1/1995,10,0,0,R
NJ,345317,"Sea Bright, Borough of",10/1/1992,10/1/2018,6,20,10,C
NJ,345318,"Sea Isle City, City of",10/1/1992,5/1/2018,3,35,10,C
NJ,340389,"Seaside Heights, Borough of",5/1/2017,5/1/2017,8,10,5,C
NJ,345319,"Seaside Park, Borough of",10/1/1992,5/1/2017,7,15,5,C
NJ,345320,"Ship Bottom, Borough of",10/1/1992,5/1/2009,7,15,5,C
NJ,340017,"Somers Point, City of",5/1/2018,5/1/2019,5,25,10,C
NJ,340280,"South River, Borough of",10/1/2014,10/1/2014,6,20,10,C
NJ,340329,"Spring Lake, Borough of",10/1/1994,5/1/2014,6,20,10,C
NJ,340393,"Stafford, Township of",10/1/1991,10/1/2013,5,25,10,C
NJ,345323,"Stone Harbor, Borough of",10/1/1994,5/1/2014,5,25,10,C
NJ,345324,"Surf City, Borough of",10/1/1992,5/1/2018,6,20,10,C
NJ,345293,"Toms River, Township of",10/1/1992,10/1/2018,7,15,5,C
NJ,340395,"Tuckerton, Borough of",10/1/1993,10/1/1998,10,0,0,R
NJ,340331,"Union Beach, Borough of",10/1/2003,10/1/2016,6,20,10,C
NJ,340159,"Upper, Township of",10/1/2011,5/1/2017,5,25,10,C
NJ,345326,"Ventnor City, City of",10/1/1992,5/1/2018,5,25,10,C
NJ,340446,"Warren, Township of",5/1/2010,5/1/2015,8,10,5,C
NJ,345327,"Wayne, Township of",10/1/1991,5/1/2015,7,15,5,C
NJ,345328,"West Wildwood, Borough of",10/1/1993,10/1/2005,10,0,0,R
NJ,340081,"Westwood, Borough of",10/1/2016,10/1/2016,8,10,5,C
NJ,345329,"Wildwood, City of",5/1/2016,5/1/2018,5,25,10,C
NJ,345330,"Wildwood Crest, Borough of",10/1/1993,5/1/2014,6,20,10,C
NJ,345331,"Woodbridge, Township of",5/1/2019,5/1/2019,6,20,10,C
NJ,340412,"Woodland Park, Borough of",10/1/2016,10/1/2016,8,10,5,C 